time_unity	object	position	
3.968345	Wall_Front	(2.11, 1.96, -14.46)	
3.985245	Wall_Left	(10.74, 0.69, -6.04)	
4.001265	Floor	(2.72, -0.36, -2.95)	
4.017993	Female02	(0.34, 0.58, -0.87)	
4.03383	Wall_Front	(8.25, 4.29, -14.46)	
4.049881	Wall_Front	(8.46, 3.47, -14.46)	
4.064808	Female02	(0.59, 1.22, -0.82)	
4.079758	Female02	(0.54, 1.00, -0.80)	
4.095111	Male01	(1.54, 0.85, -1.80)	
4.109744	Male01	(1.58, 0.76, -1.81)	
4.125749	Male01	(1.58, 0.79, -1.81)	
4.140971	Floor	(5.48, -0.36, -5.58)	
4.159147	Floor	(5.24, -0.36, -5.34)	
4.175524	Floor	(5.05, -0.36, -5.39)	
4.19135	Female02	(0.52, 0.84, -0.80)	
4.20659	Floor	(1.96, -0.36, -3.36)	
4.222185	Floor	(1.83, -0.36, -3.21)	
4.237156	MixamoFemale01	(0.30, 0.37, -1.95)	
4.253543	Female03	(-0.41, 0.81, -0.82)	
4.269823	Female03	(-0.40, 0.79, -0.82)	
4.285089	MixamoFemale01	(0.33, 0.43, -1.88)	
4.300683	MixamoFemale01	(0.45, 0.39, -1.80)	
4.316827	Floor	(1.84, -0.36, -3.20)	
4.331814	Floor	(1.87, -0.36, -3.35)	
4.348005	Female03	(-0.38, 0.84, -0.84)	
4.36579	Floor	(1.77, -0.36, -3.08)	
4.380518	Floor	(1.87, -0.36, -3.33)	
4.395374	Female03	(-0.39, 0.81, -0.83)	
4.410335	Female03	(-0.42, 0.83, -0.82)	
4.426573	Female03	(-0.45, 0.85, -0.81)	
4.442815	Female03	(-0.43, 0.87, -0.81)	
4.45818	MixamoFemale01	(0.29, 0.45, -2.01)	
4.473725	MixamoFemale01	(0.34, 0.50, -1.86)	
4.489499	Floor	(2.26, -0.36, -4.07)	
4.505398	MixamoFemale01	(0.34, 0.58, -1.87)	
4.519821	Female03	(-0.48, 0.96, -0.80)	
4.535302	Female03	(-0.52, 0.98, -0.80)	
4.549684	Female03	(-0.57, 1.00, -0.81)	
4.566582	Female03	(-0.60, 1.01, -0.83)	
4.582628	Female03	(-0.62, 1.01, -0.84)	
4.597083	Male01	(-0.55, 0.85, -1.81)	
4.611775	Male01	(-0.54, 0.87, -1.80)	
4.626929	Male01	(-0.60, 0.86, -1.83)	
4.641113	Male01	(-0.64, 0.86, -1.86)	
4.656017	Male01	(-0.60, 0.85, -1.83)	
4.669686	Male01	(-0.61, 0.83, -1.83)	
4.682931	Female03	(-0.62, 0.98, -0.84)	
4.700899	Female03	(-0.62, 0.98, -0.84)	
4.715443	Female03	(-0.63, 0.99, -0.85)	
4.73091	Female03	(-0.70, 1.00, -1.02)	
4.745989	Female03	(-0.69, 0.97, -1.06)	
4.76062	Male01	(-0.40, 0.82, -1.83)	
4.774423	Male01	(-0.40, 0.83, -1.83)	
4.787769	Female03	(-0.69, 1.02, -0.94)	
4.800793	Female03	(-0.69, 1.01, -0.93)	
4.814885	Female03	(-0.69, 1.05, -0.94)	
4.829674	Female03	(-0.70, 1.04, -1.03)	
4.845788	Male01	(-0.46, 0.92, -1.80)	
4.861988	Male01	(-0.54, 0.91, -1.80)	
4.877316	Male01	(-0.52, 0.91, -1.80)	
4.892565	Female03	(-0.66, 0.84, -0.89)	
4.906622	Female03	(-0.63, 0.78, -0.85)	
4.920379	Female03	(-0.62, 0.75, -0.84)	
4.934959	Female03	(-0.60, 0.73, -0.83)	
4.950581	Female03	(-0.56, 0.70, -0.81)	
4.966451	Female03	(-0.50, 0.66, -0.80)	
4.982649	Female03	(-0.51, 0.69, -0.80)	
4.996571	Female03	(-0.50, 0.69, -0.80)	
5.008826	Female03	(-0.46, 0.67, -0.80)	
5.023763	Floor	(1.00, -0.36, -3.32)	
5.038344	Floor	(0.97, -0.36, -3.11)	
5.051555	Floor	(0.94, -0.36, -3.19)	
5.066792	Floor	(0.98, -0.36, -3.23)	
5.080999	Floor	(0.94, -0.36, -3.19)	
5.094907	Floor	(0.95, -0.36, -3.21)	
5.109262	Female03	(-0.34, 0.57, -0.88)	
5.122804	Floor	(0.97, -0.36, -2.88)	
5.138278	Floor	(1.17, -0.36, -2.61)	
5.153535	Floor	(1.28, -0.36, -2.64)	
5.166508	Floor	(1.28, -0.36, -2.61)	
5.183438	Floor	(1.34, -0.36, -2.80)	
5.197292	Floor	(1.30, -0.36, -2.71)	
5.211411	Floor	(1.30, -0.36, -2.69)	
5.226545	Floor	(1.41, -0.36, -2.64)	
5.241954	Floor	(1.44, -0.36, -2.64)	
5.322925	Female02	(0.47, 1.21, -0.80)	
5.337679	Female02	(0.49, 1.33, -0.80)	
5.352589	Female02	(0.44, 1.35, -0.81)	
5.365228	Female02	(0.45, 1.36, -0.81)	
5.380723	Female02	(0.40, 1.34, -0.82)	
5.397307	Female02	(0.32, 1.35, -0.92)	
5.412397	Female02	(0.38, 1.34, -0.84)	
5.426953	Female02	(0.45, 1.28, -0.81)	
5.439659	Female02	(0.44, 1.30, -0.81)	
5.455462	Female02	(0.37, 1.33, -0.85)	
5.469953	Female02	(0.31, 1.31, -0.93)	
5.483336	Wall_Front	(10.01, -0.16, -14.46)	
5.497826	Wall_Front	(9.99, -0.08, -14.46)	
5.512444	Wall_Front	(10.03, -0.13, -14.46)	
5.525965	Wall_Front	(9.72, -0.08, -14.46)	
5.540286	MixamoFemale01	(0.64, 1.27, -1.84)	
5.55494	MixamoFemale01	(0.51, 1.27, -1.79)	
5.569609	MixamoFemale01	(0.57, 1.31, -1.80)	
5.58344	MixamoFemale01	(0.59, 1.31, -1.81)	
5.60048	MixamoFemale01	(0.55, 1.34, -1.80)	
5.6145	Wall_Front	(9.36, 0.09, -14.46)	
5.630621	Wall_Front	(9.32, 1.39, -14.46)	
5.645957	Wall_Front	(9.60, 2.64, -14.46)	
5.661754	Wall_Front	(9.94, 2.72, -14.46)	
5.677269	Wall_Front	(9.76, 2.73, -14.46)	
5.6932	Female02	(0.47, 1.78, -0.80)	
5.707236	Female02	(0.34, 1.77, -0.88)	
5.723021	Female02	(0.33, 1.78, -0.89)	
5.738926	Wall_Front	(9.65, 2.61, -14.46)	
5.754261	Wall_Front	(9.33, 2.67, -14.46)	
5.769854	Wall_Front	(9.75, 2.83, -14.46)	
5.786086	Wall_Front	(10.30, 2.90, -14.46)	
5.803682	Female02	(0.48, 1.80, -0.80)	
5.819883	Female02	(0.47, 1.81, -0.80)	
5.835274	Female02	(0.36, 1.80, -0.86)	
5.850093	Female02	(0.31, 1.80, -0.94)	
5.864585	Wall_Front	(9.73, 2.75, -14.46)	
5.878332	Wall_Front	(9.32, 2.53, -14.46)	
5.892076	Female02	(0.38, 1.77, -0.84)	
5.908751	Female02	(0.40, 1.73, -0.83)	
5.923393	Female02	(0.38, 1.63, -0.84)	
6.0356	Female03	(-0.62, 1.01, -0.84)	
6.049887	Female03	(-0.60, 1.02, -0.83)	
6.063797	Female03	(-0.50, 0.97, -0.80)	
6.077385	Female03	(-0.46, 0.97, -0.80)	
6.091178	Female03	(-0.47, 0.96, -0.80)	
6.104713	Female03	(-0.51, 1.00, -0.80)	
6.118028	Female03	(-0.55, 0.99, -0.81)	
6.13207	Female03	(-0.55, 0.98, -0.81)	
6.14528	Female03	(-0.56, 0.99, -0.81)	
6.157351	Female03	(-0.57, 0.96, -0.81)	
6.170984	Female03	(-0.57, 0.96, -0.81)	
6.184777	Female03	(-0.59, 0.95, -0.82)	
6.197856	Female03	(-0.59, 0.94, -0.82)	
6.215462	Female03	(-0.58, 0.95, -0.82)	
6.230541	Female03	(-0.59, 0.95, -0.82)	
6.243678	Female03	(-0.59, 0.94, -0.82)	
6.257426	Female03	(-0.61, 0.95, -0.83)	
6.271782	Female03	(-0.62, 0.93, -0.84)	
6.285973	Female03	(-0.58, 0.66, -0.82)	
6.301768	Female03	(-0.47, 0.49, -0.80)	
6.31611	Female03	(-0.49, 0.51, -0.80)	
6.32915	Female03	(-0.49, 0.48, -0.80)	
6.343741	Female03	(-0.57, 0.52, -0.81)	
6.35645	Female03	(-0.55, 0.48, -0.81)	
6.370073	Female03	(-0.54, 0.48, -0.80)	
6.382666	Female03	(-0.56, 0.49, -0.81)	
6.396079	Female03	(-0.58, 0.51, -0.82)	
6.409014	Female03	(-0.56, 0.52, -0.81)	
6.424728	Female03	(-0.52, 0.50, -0.80)	
6.438033	Female03	(-0.51, 0.50, -0.80)	
6.451672	Female03	(-0.48, 0.48, -0.80)	
6.46676	Female03	(-0.46, 0.48, -0.80)	
6.481051	Female03	(-0.48, 0.49, -0.80)	
6.49454	Female03	(-0.50, 0.50, -0.80)	
6.508748	Female03	(-0.51, 0.50, -0.80)	
6.521794	Female03	(-0.53, 0.51, -0.80)	
6.53537	Female03	(-0.46, 0.47, -0.80)	
6.549957	Female03	(-0.43, 0.44, -0.81)	
6.561895	Female03	(-0.47, 0.44, -0.80)	
6.574814	Female03	(-0.48, 0.47, -0.80)	
6.588261	Female03	(-0.49, 0.45, -0.80)	
6.601283	Female03	(-0.51, 0.43, -0.80)	
6.614833	Female03	(-0.43, 0.38, -0.81)	
6.627497	Floor	(0.89, -0.36, -2.25)	
6.642414	Floor	(1.16, -0.36, -2.20)	
6.657306	Floor	(1.15, -0.36, -2.22)	
6.672098	Floor	(1.19, -0.36, -2.29)	
6.683654	Floor	(1.24, -0.36, -2.37)	
6.695746	Floor	(1.22, -0.36, -2.29)	
6.708776	Floor	(1.28, -0.36, -2.38)	
6.721886	Floor	(1.27, -0.36, -2.43)	
6.735557	Floor	(1.28, -0.36, -2.48)	
6.749014	Floor	(1.28, -0.36, -2.43)	
6.761251	Female02	(0.32, 0.30, -0.99)	
6.775686	Female02	(0.34, 0.26, -1.00)	
6.791021	Female02	(0.35, 0.24, -1.00)	
6.80534	Female02	(0.33, 0.28, -0.94)	
6.818385	Female02	(0.34, 0.25, -0.99)	
6.834285	Floor	(1.16, -0.36, -2.13)	
6.84785	Floor	(1.15, -0.36, -2.12)	
6.861133	Floor	(1.12, -0.36, -2.27)	
6.874115	Floor	(1.10, -0.36, -2.26)	
6.88886	Floor	(1.12, -0.36, -2.35)	
6.901837	Floor	(1.09, -0.36, -2.31)	
6.915886	Floor	(1.05, -0.36, -2.23)	
6.93096	Floor	(1.08, -0.36, -2.34)	
6.943473	Floor	(1.10, -0.36, -2.30)	
6.958526	Floor	(1.18, -0.36, -2.42)	
6.972375	Floor	(1.09, -0.36, -2.31)	
6.986258	Floor	(0.72, -0.36, -2.36)	
7.002328	Female03	(-0.47, 0.41, -0.80)	
7.015762	Female03	(-0.54, 0.38, -0.80)	
7.029383	Female03	(-0.59, 0.45, -0.82)	
7.048305	Female03	(-0.61, 0.43, -0.83)	
7.063045	Female03	(-0.55, 0.36, -0.81)	
7.077443	Female03	(-0.54, 0.34, -0.81)	
7.089508	Female03	(-0.59, 0.34, -0.83)	
7.105087	Female03	(-0.58, 0.35, -0.82)	
7.121128	Female03	(-0.58, 0.37, -0.82)	
7.135845	Female03	(-0.56, 0.39, -0.81)	
7.150359	Female03	(-0.54, 0.41, -0.81)	
7.163289	Female03	(-0.53, 0.41, -0.80)	
7.176429	Female03	(-0.49, 0.38, -0.80)	
7.189692	Female03	(-0.50, 0.41, -0.80)	
