Session Ind,Catch Ind,Threshold,Number of agents,agents' raised hand,participant's raised hand,response time,responses,time from the onset of experiment,responding agents,time that fixation disappears
1,0,0.4,6,1,1,1.991333,2,325.2112,754321,328.2261
1,0,0.4,2,2,1,1.807709,1,330.0338,13,333.234
1,0,0.6,2,1,2,1.809418,1,335.0434,21,338.2402
1,0,0.4,1,2,2,1.92276,2,340.163,5,343.2487
1,0,0.4,4,2,1,1.806366,1,345.055,4526,348.249
1,0,0.4,2,2,2,1.521973,2,349.771,73,353.2587
1,0,0.4,3,1,1,2.089325,2,355.3481,368,358.2668
1,0,0.6,7,1,2,2.062592,1,360.3294,2856173,363.2794
1,0,0.4,1,1,2,1.976654,1,365.2561,6,368.2862
1,0,0.6,2,2,2,2.436676,2,370.7228,64,373.2866
1,0,0.6,7,1,2,1.911011,1,375.1976,4185273,378.3006
1,0,0.6,8,2,2,1.962341,2,380.263,5.12E+07,383.3117
1,0,0.6,6,1,2,1.791504,1,385.1032,572638,388.3247
1,0,0.6,5,1,2,1.760956,1,390.0857,31658,393.3295
1,0,0.4,2,2,2,2.947815,1,396.2773,87,398.331
1,0,0.4,4,1,1,1.908722,2,400.2397,6871,403.3367
1,0,0.4,8,1,1,2.339111,2,405.6758,8.62E+07,408.3403
1,0,0.6,2,2,2,2.355347,2,410.6956,38,413.3503
1,0,0.4,4,1,2,1.791931,1,415.1422,6748,418.3561
1,0,0.6,2,1,2,1.827332,1,420.1834,52,433.3632
2,0,0.5,5,2,2,1.80719,1,435.1704,36241,438.3726
2,0,0.5,1,2,1,2.823853,2,441.1965,8,443.3734
2,1,0.4,4,2,2,1.763031,2,445.1364,6573,448.3864
2,1,0.5,2,2,2,1.619324,2,450.0058,23,453.3989
2,1,0.5,4,1,1,1.955902,2,455.3548,2637,458.4069
2,1,0.5,1,1,1,2.523865,1,460.9307,5,463.4189
2,1,0.5,3,1,1,1.687134,2,465.106,372,468.4205
2,1,0.5,6,2,2,1.985962,2,470.4065,283651,473.4213
2,1,0.5,4,2,2,2.010101,2,475.4314,8753,478.4325
2,1,0.5,1,1,1,2.420624,1,480.8531,7,483.4343
2,1,0.5,6,1,1,1.788025,2,485.2223,315864,488.4443
2,1,0.5,8,1,2,1.808655,1,490.2529,4.57E+07,493.453
2,1,0.5,1,2,2,2.356384,1,495.8094,7,498.4602
2,1,0.5,7,1,1,1.914001,2,500.3742,4632178,503.4687
2,1,0.5,2,2,2,2.36673,2,505.8354,25,508.4854
2,1,0.5,2,2,1,2.324707,1,510.8102,42,513.4976
2,1,0.5,1,1,2,2.508423,2,516.006,2,518.5056
2,1,0.5,5,2,2,2.275024,2,520.7806,26873,523.5137
2,1,0.5,2,1,1,2.340149,2,525.8538,72,528.5142
2,1,0.4,1,1,2,2.51825,2,531.0324,1,533.5239
2,1,0.5,3,2,2,2.227783,2,535.7517,387,538.5291
2,1,0.5,1,1,2,2.482849,2,541.012,1,543.5364
2,1,0.5,1,2,2,2.968445,2,546.5048,3,548.5417
2,1,0.5,1,2,1,2.421387,1,550.9631,2,553.5444
2,1,0.5,5,2,2,2.320862,2,555.8652,32785,558.5494
2,1,0.4,3,2,2,2.048523,2,560.598,657,563.5547
2,1,0.5,4,2,1,1.766296,1,565.321,2387,568.567
2,1,0.5,7,1,1,1.742004,2,570.309,5621437,573.5709
2,1,0.5,6,2,1,1.80304,1,575.3739,432716,578.5806
2,1,0.5,1,2,2,2.537903,1,581.1185,4,583.585
2,1,0.6,2,1,2,2.32135,1,585.9064,67,588.5867
2,1,0.5,3,1,2,2.219421,1,590.8061,583,593.5895
2,1,0.5,8,1,2,1.680725,1,595.2702,3.16E+07,598.595
2,1,0.5,3,2,2,2.08374,2,600.6788,735,603.6058
2,1,0.5,8,2,2,2.151184,2,605.757,5.23E+07,608.614
2,1,0.5,5,1,2,2.021301,1,610.6353,81425,613.6275
2,1,0.5,4,2,2,1.73761,2,615.3651,3821,618.6379
2,1,0.5,7,1,2,1.704895,1,620.3428,8764123,623.642
2,1,0.5,4,1,2,1.865479,1,625.5075,1726,628.6476
2,1,0.5,8,2,2,2.185669,2,630.8333,6.75E+07,633.6625
2,1,0.5,2,1,2,2.166931,1,635.8295,83,638.6656
2,1,0.5,6,1,2,1.719727,1,640.3854,467281,643.6735
2,1,0.6,6,2,2,1.842957,2,645.5164,756431,648.6829
2,1,0.5,1,2,2,2.768311,1,651.4512,1,653.6888
2,1,0.5,6,1,2,1.913391,1,655.6022,287136,658.6902
2,1,0.5,3,2,2,2.080688,2,660.7709,168,663.6918
2,1,0.6,5,1,2,2.229675,1,665.9214,51367,668.695
2,1,0.6,2,1,2,2.638,1,671.333,68,673.6971
2,1,0.5,4,1,1,2.340515,2,676.0376,3268,678.7023
2,1,0.5,5,2,1,1.687195,1,680.3895,64172,683.7071
2,1,0.6,7,1,2,1.626892,1,685.334,2541683,688.7088
2,1,0.5,6,2,2,2.146301,2,690.8551,874256,693.7189
2,1,0.5,1,2,2,2.705322,1,696.4242,5,698.7277
2,1,0.5,2,1,2,1.976807,1,700.7045,24,703.7298
2,1,0.6,3,1,2,2.092468,1,705.8223,342,708.7458
2,1,0.5,1,1,2,2.293152,2,711.039,8,713.7462
2,1,0.5,7,1,2,1.761719,1,715.5079,6174285,718.7556
2,1,0.5,7,2,1,1.995483,1,720.751,1825764,723.7608
2,1,0.5,3,2,1,3.03241,1,726.7932,864,728.7717
2,1,0.5,1,2,2,2.264954,1,731.0366,5,733.7783
2,1,0.5,7,2,1,2.088562,1,735.8669,4756318,738.782
2,1,0.5,1,2,2,2.402588,1,741.1846,7,743.7935
2,1,0.4,1,2,1,2.778748,1,746.5723,3,748.796
2,1,0.5,5,2,1,1.827209,1,750.6232,54786,753.7963
2,1,0.5,5,1,2,1.697388,1,755.4937,61372,758.8092
2,1,0.5,8,2,1,1.799011,1,760.6082,2.78E+07,763.8102
2,1,0.5,3,1,2,2.083801,1,765.894,465,768.8108
2,1,0.5,4,1,2,2.085693,1,770.8965,3826,773.8215
2,1,0.5,1,2,2,2.510681,1,776.3322,8,778.8237
2,1,0.4,1,2,2,3.809998,1,782.6337,7,783.8298
2,1,0.5,5,1,1,1.8302,2,785.66,21538,788.8312
2,1,0.6,3,2,1,2.132324,1,790.9636,154,793.8417
2,1,0.5,8,2,2,1.919189,2,795.7609,5.74E+07,798.8532
2,1,0.4,3,1,1,2.098877,2,800.9521,568,803.8573
2,1,0.5,7,1,1,1.906433,2,805.7637,6471853,808.8615
2,1,0.5,8,1,1,1.754028,2,810.6155,7.44E+07,813.8762
2,1,0.5,3,1,2,2.031982,1,815.9081,675,818.8805
2,1,0.5,6,2,2,1.691711,2,820.5722,372684,823.8907
2,1,0.5,4,1,1,1.897339,2,825.788,7216,828.894
2,1,0.5,3,2,1,1.679749,1,830.5737,632,833.8962
2,1,0.5,3,2,2,1.881714,2,835.778,325,838.9067
2,1,0.5,7,2,1,2.143066,1,841.0498,3741682,843.9175
2,1,0.5,5,2,1,2.105774,1,846.0233,83751,848.9179
2,1,0.5,2,2,1,2.032837,1,850.9507,73,853.9221
2,1,0.5,5,1,1,1.832703,2,855.7548,68152,858.9305
2,1,0.5,1,2,1,2.605103,2,861.5356,5,863.9315
2,1,0.5,8,1,2,1.936523,1,865.868,8.65E+07,868.941
2,1,0.5,6,1,2,1.953308,1,870.8943,128746,873.9485
2,1,0.5,1,1,1,2.348877,2,876.2974,3,878.96
2,1,0.5,3,2,1,2.20575,1,881.1657,845,883.9686
2,1,0.5,1,1,1,2.399658,2,886.3683,2,888.9706
2,1,0.5,7,1,1,1.995361,2,890.9659,6734281,893.9725
2,1,0.5,1,1,1,2.254456,1,896.2269,8,898.9756
2,1,0.5,2,2,2,2.289368,2,901.265,17,903.9827
2,1,0.4,7,2,2,1.882935,2,905.8657,6745813,908.9849
2,1,0.5,5,1,2,1.656921,1,910.6418,27438,913.9922
2,1,0.5,5,2,1,1.618042,1,915.6103,25483,919.002
2,1,0.6,7,2,2,1.612366,2,920.6143,2345617,924.0085
2,1,0.5,8,1,1,1.562866,2,925.5714,8.63E+07,929.0156
2,1,0.5,2,2,2,1.988403,2,931.004,43,934.02
2,1,0.5,4,1,1,1.828857,2,935.8489,8132,939.0252
2,1,0.5,6,2,1,1.653198,1,940.6784,124857,944.0353
2,1,0.5,2,2,1,1.574463,1,945.6098,71,949.0379
2,1,0.6,2,2,2,2.236572,2,951.2745,84,954.0458
2,1,0.4,8,1,1,1.457214,2,955.503,4.27E+07,959.0593
2,1,0.5,4,1,1,1.785889,2,960.8452,2634,964.0685
2,1,0.5,5,2,2,1.835938,2,965.9045,47821,969.0798
2,1,0.5,2,2,2,1.75946,2,970.8393,36,974.0894
2,1,0.5,7,2,2,1.953003,2,976.0424,6274853,979.0965
2,1,0.5,7,2,1,1.787659,1,980.8842,2457361,984.1044
2,1,0.5,3,2,1,1.661438,1,985.7658,524,989.106
2,1,0.5,4,1,2,1.542114,1,990.6481,3458,994.1144
2,1,0.5,5,1,2,1.537476,1,995.6519,36274,999.1151
2,1,0.5,4,2,1,1.831177,1,1000.946,4735,1004.117
2,1,0.4,5,2,1,1.735046,1,1005.852,28675,1009.124
2,1,0.5,2,2,2,2.055847,2,1011.18,46,1014.13
2,1,0.5,8,1,2,1.629761,1,1015.76,7.14E+07,1019.135
2,1,0.6,6,1,2,1.860474,1,1020.995,857421,1024.137
2,1,0.4,4,2,1,2.275757,1,1026.413,7568,1029.151
2,1,0.6,4,2,2,1.985718,2,1031.137,4781,1034.164
2,1,0.5,8,1,2,1.707764,1,1035.872,4.36E+07,1039.167
2,1,0.5,1,1,2,2.407471,2,1041.574,7,1044.168
2,1,0.5,6,2,2,1.783813,2,1045.952,143652,1049.175
2,1,0.5,8,1,1,1.849609,2,1051.024,4.59E+07,1054.182
2,1,0.5,3,1,1,1.900146,2,1056.082,843,1059.184
2,1,0.5,2,2,2,2.324829,2,1061.509,85,1064.188
2,1,0.5,6,1,2,1.876953,1,1066.065,475623,1069.189
2,1,0.5,1,2,1,2.208862,2,1071.398,1,1074.195
2,1,0.5,7,1,1,1.964111,2,1076.159,8375426,1079.203
2,1,0.5,2,1,2,2.177979,1,1081.381,73,1084.208
2,1,0.5,4,2,2,1.86792,2,1086.076,4836,1089.214
2,1,0.5,2,1,2,1.502319,1,1090.716,24,1094.223
2,1,0.5,7,1,1,1.859497,2,1096.082,3426178,1099.227
2,1,0.5,1,2,2,2.138916,1,1101.366,4,1104.238
2,1,0.5,3,2,2,1.862305,2,1106.1,238,1109.247
