Session Ind,Catch Ind,Threshold,Number of agents,agents' raised hand,participant's raised hand,response time,responses,time from the onset of experiment,responding agents,time that fixation disappears
1,0,0.4,1,1,1,1.406733,2,32.63031,,
1,0,0.4,8,2,1,1.474884,1,37.70548,,
1,0,0.6,1,2,2,1.257431,2,42.49766,,
1,0,0.6,2,2,2,2.963604,2,49.20506,,
1,0,0.4,6,1,1,1.643505,2,52.89397,,
1,0,0.6,3,1,2,1.261227,1,57.52357,,
1,0,0.6,5,2,2,1.177036,2,62.4457,,
1,0,0.4,6,1,1,1.127991,2,67.40393,,
1,0,0.6,3,1,2,1.117561,1,72.39894,,
1,0,0.6,8,2,2,1.170853,2,77.46714,,
1,0,0.6,2,1,2,1.336716,1,82.63914,,
1,0,0.6,7,2,2,1.097382,2,87.40264,,
1,0,0.6,8,2,2,1.397446,2,92.70897,,
1,0,0.4,8,1,1,1.112572,1,97.42992,,
1,0,0.6,5,2,2,1.027802,2,102.3563,,
1,0,0.6,2,1,2,1.514641,1,107.846,,
1,0,0.6,5,2,2,1.16198,2,112.5074,,
1,0,0.4,1,1,1,1.251175,2,117.599,,
1,0,0.4,6,2,1,1.240501,1,122.5938,,
1,0,0.6,3,1,2,1.104164,1,127.4681,,
2,1,0.4,5,1,1,1.278519,2,142.6535,,
2,1,0.6,3,2,2,1.141373,2,147.5255,,
2,1,0.4,7,1,1,1.304031,2,152.698,,
2,1,0.5,5,2,2,1.73349,2,158.1297,,
2,1,0.4,6,1,1,0.9887238,2,162.3862,,
2,1,0.5,8,1,2,1.529648,2,167.9308,,
2,1,0.5,2,2,2,1.705185,2,173.1162,,
2,1,0.5,8,2,1,1.394028,2,177.818,,
2,1,0.5,8,1,2,1.907486,2,183.3315,,
2,1,0.5,3,2,2,1.075394,1,187.5068,,
2,1,0.5,5,1,2,1.534637,1,192.9713,,
2,1,0.6,3,2,2,1.38237,2,197.8325,,
2,1,0.5,2,2,2,1.219589,2,202.679,,
2,1,0.5,2,1,2,1.389175,1,207.8493,,
2,1,0.5,2,1,1,1.452423,2,212.9286,,
2,1,0.6,7,1,2,1.101685,1,217.5893,,
2,1,0.5,4,1,2,1.65451,2,223.147,,
2,1,0.5,2,1,1,1.918045,2,228.4161,,
2,1,0.5,1,2,2,1.873993,2,233.3805,,
2,1,0.5,6,2,1,1.317673,1,237.8295,,
2,1,0.5,2,1,2,1.327103,2,242.8396,,
2,1,0.5,2,1,1,1.526047,1,248.0511,,
2,1,0.5,7,2,2,1.773621,1,253.3067,,
2,1,0.5,4,1,1,1.282623,1,257.8229,,
2,1,0.5,2,1,1,2.418274,2,263.9614,,
2,1,0.5,6,1,2,1.910492,1,268.4609,,
2,1,0.4,2,1,2,1.916321,2,273.4731,,
2,1,0.5,8,1,2,1.410004,2,277.974,,
2,1,0.5,6,2,1,1.534912,1,283.1072,,
2,1,0.4,6,1,1,1.178772,2,287.76,,
2,1,0.5,3,1,1,1.493652,2,293.0755,,
2,1,0.5,8,2,2,1.143402,1,297.7255,,
2,1,0.4,5,2,1,1.336456,1,302.9203,,
2,1,0.5,6,2,1,1.57901,2,308.1772,,
2,1,0.5,7,2,1,1.904541,1,313.5103,,
2,1,0.5,3,1,1,1.969727,1,318.5828,,
2,1,0.4,3,2,1,1.466187,2,323.0814,,
2,1,0.4,5,2,1,1.406708,1,328.0284,,
2,1,0.5,5,1,2,1.321594,1,332.9486,,
2,1,0.5,3,2,1,1.973572,2,338.6101,,
2,1,0.5,8,1,2,1.350372,1,342.9943,,
2,1,0.6,6,1,2,1.303131,1,347.9646,,
2,1,0.5,2,2,1,1.286377,2,352.9507,,
2,1,0.5,8,2,2,1.746704,2,358.4182,,
2,1,0.5,7,1,1,1.673523,1,363.3552,,
2,1,0.6,3,1,2,1.293457,1,367.979,,
2,1,0.5,4,1,1,2.242004,1,373.9308,,
2,1,0.5,2,1,2,2.042358,1,378.7395,,
2,1,0.5,5,2,1,1.61795,2,383.3244,,
2,1,0.5,4,2,2,1.643127,1,388.3637,,
2,1,0.5,8,2,1,1.365326,2,393.097,,
2,1,0.5,2,2,2,1.440338,2,398.1732,,
2,1,0.5,3,2,1,1.392212,1,403.1323,,
2,1,0.5,2,2,1,2.118011,1,408.8698,,
2,1,0.5,5,1,2,1.474518,1,413.2315,,
2,1,0.4,1,2,1,1.593384,1,418.3544,,
2,1,0.5,6,2,2,1.345337,1,423.1072,,
2,1,0.5,8,1,1,1.51297,1,428.2857,,
2,1,0.5,3,1,2,1.349701,2,433.1277,,
2,1,0.5,7,2,2,2.22226,2,439.0119,,
2,1,0.6,7,2,2,1.259857,2,443.0591,,
2,1,0.5,2,1,1,1.229279,2,448.0395,,
2,1,0.5,4,1,1,1.970459,2,453.7887,,
2,1,0.5,3,2,2,2.385986,2,459.211,,
2,1,0.5,8,1,1,1.395416,2,463.232,,
2,1,0.5,7,1,1,1.628113,2,468.4741,,
2,1,0.5,4,1,1,2.071991,1,473.9219,,
2,1,0.5,4,2,2,1.270599,2,478.129,,
2,1,0.5,7,2,2,2.088348,2,483.9469,,
2,1,0.5,2,2,2,2.142853,2,489.0076,,
2,1,0.5,2,1,2,1.326385,2,493.2027,,
2,1,0.5,5,1,2,1.846375,1,498.7354,,
2,1,0.5,2,1,2,1.19397,2,503.0937,,
2,1,0.5,6,2,2,1.107941,1,508.0183,,
2,1,0.4,7,2,1,1.176208,1,513.0958,,
2,1,0.5,7,2,2,1.292114,2,518.219,,
2,1,0.5,3,1,2,1.284241,2,523.2145,,
2,1,0.5,1,1,2,1.493347,1,528.4311,,
2,1,0.4,2,1,1,1.267212,1,533.2106,,
2,1,0.5,3,2,1,1.164124,1,538.1085,,
2,1,0.5,7,1,1,1.170166,2,543.1172,,
2,1,0.5,5,1,2,1.495544,2,548.4552,,
2,1,0.5,8,2,1,2.014465,1,553.9822,,
2,1,0.5,6,1,1,1.261658,1,558.2344,,
2,1,0.5,2,2,2,1.996765,2,563.9736,,
2,1,0.5,7,2,2,1.591431,2,568.5714,,
2,1,0.5,2,1,2,2.038635,2,574.0309,,
2,1,0.5,5,1,2,1.446472,2,578.4462,,
2,1,0.5,5,2,1,1.22345,2,583.2321,,
2,1,0.5,5,1,2,2.056641,1,589.0778,,
2,1,0.5,8,1,2,1.51001,1,593.5377,,
2,1,0.5,5,2,2,1.463318,1,598.4913,,
2,1,0.5,7,2,1,2.57312,2,604.6088,,
2,1,0.5,5,2,2,1.798767,2,608.8354,,
2,1,0.5,6,1,2,1.720093,1,613.7633,,
2,1,0.6,4,2,2,1.386353,2,618.441,,
2,1,0.5,7,2,2,1.154724,1,623.2142,,
2,1,0.5,6,2,2,1.661804,1,628.724,,
2,1,0.5,2,1,1,1.538696,2,633.6139,,
2,1,0.5,3,2,2,2.419434,2,639.4971,,
2,1,0.5,3,2,2,2.091187,2,644.1736,,
2,1,0.5,7,1,1,1.736511,2,648.8245,,
2,1,0.4,8,2,1,1.373535,1,653.469,,
2,1,0.5,3,2,2,1.983215,2,659.0894,,
2,1,0.5,7,1,1,1.231628,1,663.3503,,
2,1,0.5,3,1,2,1.347351,2,668.4666,,
2,1,0.5,6,2,2,1.345093,1,673.4679,,
2,1,0.5,7,2,2,2.353455,2,679.491,,
2,1,0.5,7,1,0,5.011841,2,687.1566,,
2,1,0.5,5,1,2,1.266174,2,689.4575,,
2,1,0.5,8,1,2,1.412537,2,694.6091,,
2,1,0.5,1,1,1,2.531433,2,700.7319,,
2,1,0.5,1,2,2,2.402466,1,705.6088,,
2,1,0.5,5,2,2,1.564575,2,709.7718,,
2,1,0.5,8,2,2,1.945618,2,715.1626,,
2,1,0.6,8,1,2,1.68811,1,719.915,,
2,1,0.5,8,2,2,1.920532,2,725.1548,,
2,1,0.5,2,2,2,2.258057,2,730.5025,,
2,1,0.5,2,2,2,1.938354,2,735.1868,,
2,1,0.5,4,1,2,2.10907,1,740.3683,,
2,1,0.6,7,1,2,1.552917,1,744.8267,,
2,1,0.5,4,1,1,1.998901,1,750.2756,,
2,1,0.5,3,2,2,1.560547,1,754.8426,,
2,1,0.5,7,1,2,1.969543,2,760.2619,,
2,1,0.5,5,1,2,1.867126,2,765.1714,,
2,1,0.5,2,2,2,2.00415,1,770.3157,,
2,1,0.5,3,2,2,2.182678,1,775.498,,
2,1,0.4,5,2,1,1.556274,1,779.8815,,
2,1,0.6,4,2,2,1.943848,2,785.2734,,
2,1,0.5,2,1,2,2.666077,2,790.9984,,
2,1,0.5,1,2,2,2.156067,1,795.49,,
